id;code;car_type;category;serial_num;hide;is_new
1;Jewelery cutting-edge;Games;Iraq Bedfordshire;Concrete 24/7 Directives;false;false
2;Oklahoma facilitate;Engineer;Exclusive Moroccan Dirham card;zero tolerance;false;false
3;Analyst paradigms;encompassing;deposit Canadian Dollar Lebanon;Designer Persistent;true;false
4;24/7 Re-contextualized cross-platform;invoice withdrawal;bypassing optical;installation;false;true
5;HDD;Algerian Dinar;firewall;Future-proofed deposit Sausages;true;false
6;Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;false;true
7;Virginia THX pink;cross-media;programming SCSI drive;invoice Unbranded Cheese;true;true
8;Alabama transform;invoice Home Gloves;Buckinghamshire Ports;Devolved driver Networked;false;false
9;world-class program alarm;Nevada;Berkshire;dedicated Persevering;true;true
10;Cambridgeshire Investor;cross-platform Borders;Libyan Dinar CSS;sensor;false;true
